[ Pretrain | 207/500 ] loss = 2.0420
[ Pretrain | 208/500 ] loss = 1.4867
[ Pretrain | 209/500 ] loss = 1.4734
[ Pretrain | 210/500 ] loss = 1.6664
[ Pretrain | 211/500 ] loss = 1.5138
[ Pretrain | 212/500 ] loss = 1.3809
[ Pretrain | 213/500 ] loss = 1.4975
[ Pretrain | 214/500 ] loss = 1.6499
[ Pretrain | 215/500 ] loss = 1.1519
[ Pretrain | 216/500 ] loss = 2.0470
[ Pretrain | 217/500 ] loss = 1.9241
[ Pretrain | 218/500 ] loss = 1.3008
[ Pretrain | 219/500 ] loss = 1.7170
[ Pretrain | 220/500 ] loss = 1.7996
[ Pretrain | 221/500 ] loss = 1.7445
[ Pretrain | 222/500 ] loss = 1.5200
[ Pretrain | 223/500 ] loss = 1.5858
[ Pretrain | 224/500 ] loss = 1.1265
[ Pretrain | 225/500 ] loss = 1.5791
[ Pretrain | 226/500 ] loss = 1.7226
[ Pretrain | 227/500 ] loss = 1.9387
[ Pretrain | 228/500 ] loss = 1.4817
[ Pretrain | 229/500 ] loss = 1.2823
[ Pretrain | 230/500 ] loss = 1.4223
[ Pretrain | 231/500 ] loss = 1.3993
[ Pretrain | 232/500 ] loss = 1.4201
[ Pretrain | 233/500 ] loss = 2.2624
[ Pretrain | 234/500 ] loss = 1.3694
[ Pretrain | 235/500 ] loss = 1.5403
[ Pretrain | 236/500 ] loss = 1.2757
[ Pretrain | 237/500 ] loss = 1.6987
[ Pretrain | 238/500 ] loss = 1.2559
[ Pretrain | 239/500 ] loss = 1.7875
[ Pretrain | 240/500 ] loss = 1.3757
[ Pretrain | 241/500 ] loss = 1.3657
[ Pretrain | 242/500 ] loss = 1.6183
[ Pretrain | 243/500 ] loss = 1.3346
[ Pretrain | 244/500 ] loss = 1.6593
[ Pretrain | 245/500 ] loss = 1.8553
[ Pretrain | 246/500 ] loss = 1.4110
[ Pretrain | 247/500 ] loss = 1.5986
[ Pretrain | 248/500 ] loss = 1.7428
[ Pretrain | 249/500 ] loss = 1.7664
[ Pretrain | 250/500 ] loss = 1.8088
[ Pretrain | 251/500 ] loss = 1.4482
[ Pretrain | 252/500 ] loss = 1.3205
[ Pretrain | 253/500 ] loss = 1.4123
[ Pretrain | 254/500 ] loss = 1.5652
[ Pretrain | 255/500 ] loss = 1.4209
[ Pretrain | 256/500 ] loss = 1.4405
[ Pretrain | 257/500 ] loss = 1.8662
[ Pretrain | 258/500 ] loss = 1.7449
[ Pretrain | 259/500 ] loss = 1.4595
[ Pretrain | 260/500 ] loss = 1.5273
[ Pretrain | 261/500 ] loss = 1.2630
[ Pretrain | 262/500 ] loss = 1.5340
[ Pretrain | 263/500 ] loss = 2.3686
[ Pretrain | 264/500 ] loss = 1.3059
[ Pretrain | 265/500 ] loss = 1.4454
[ Pretrain | 266/500 ] loss = 1.9372
[ Pretrain | 267/500 ] loss = 1.2602
[ Pretrain | 268/500 ] loss = 1.6129
[ Pretrain | 269/500 ] loss = 1.2351
[ Pretrain | 270/500 ] loss = 1.1638
[ Pretrain | 271/500 ] loss = 1.5657
[ Pretrain | 272/500 ] loss = 1.4670
[ Pretrain | 273/500 ] loss = 1.1928
[ Pretrain | 274/500 ] loss = 1.2955
[ Pretrain | 275/500 ] loss = 1.1516
